2026-04-17 07:45:11,598 | INFO | leadgen.playwright_collect | Engines: bing, duckduckgo, yahoo | 36 query/queries | up to 50 new domains per engine per query | total cap 500 | SERP pages: bing=6, duckduckgo=6, yahoo=6
2026-04-17 07:45:12,745 | INFO | leadgen.playwright_collect | Chromium launcher: chrome
2026-04-17 07:45:12,941 | INFO | leadgen.playwright_collect | === Query 1/36: 'Simming Pool Repair Services in USA' ===
2026-04-17 07:45:12,941 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:45:52,844 | INFO | leadgen.playwright_collect | --- BING done: +29 domains (session total 29) ---
2026-04-17 07:45:53,917 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:46:01,640 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +1 domains (session total 30) ---
2026-04-17 07:46:03,643 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:46:51,637 | INFO | leadgen.playwright_collect | --- YAHOO done: +19 domains (session total 49) ---
2026-04-17 07:46:54,024 | INFO | leadgen.playwright_collect | === Query 2/36: 'Simming Pool Repair Services in Canada' ===
2026-04-17 07:46:54,025 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:47:44,642 | INFO | leadgen.playwright_collect | --- BING done: +41 domains (session total 90) ---
2026-04-17 07:47:46,557 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:47:53,999 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +2 domains (session total 92) ---
2026-04-17 07:47:56,125 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:48:47,942 | INFO | leadgen.playwright_collect | --- YAHOO done: +7 domains (session total 99) ---
2026-04-17 07:48:50,034 | INFO | leadgen.playwright_collect | === Query 3/36: 'construction company USA USA' ===
2026-04-17 07:48:50,035 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:49:42,970 | INFO | leadgen.playwright_collect | --- BING done: +40 domains (session total 139) ---
2026-04-17 07:49:45,384 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:49:52,801 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +1 domains (session total 140) ---
2026-04-17 07:49:54,056 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:50:40,528 | INFO | leadgen.playwright_collect | --- YAHOO done: +24 domains (session total 164) ---
2026-04-17 07:50:42,602 | INFO | leadgen.playwright_collect | === Query 4/36: 'construction company USA Canada' ===
2026-04-17 07:50:42,603 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:51:31,691 | INFO | leadgen.playwright_collect | --- BING done: +17 domains (session total 181) ---
2026-04-17 07:51:32,884 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:51:40,573 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +3 domains (session total 184) ---
2026-04-17 07:51:42,432 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:52:31,517 | INFO | leadgen.playwright_collect | --- YAHOO done: +24 domains (session total 208) ---
2026-04-17 07:52:32,981 | INFO | leadgen.playwright_collect | === Query 5/36: 'general contractor company USA' ===
2026-04-17 07:52:32,981 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:53:23,446 | INFO | leadgen.playwright_collect | --- BING done: +15 domains (session total 223) ---
2026-04-17 07:53:24,868 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:53:32,043 | WARNING | leadgen.playwright_collect | DuckDuckGo JS SERP returned no links; trying HTML fallback.
2026-04-17 07:53:41,922 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +1 domains (session total 224) ---
2026-04-17 07:53:42,995 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:54:34,347 | INFO | leadgen.playwright_collect | --- YAHOO done: +14 domains (session total 238) ---
2026-04-17 07:54:36,278 | INFO | leadgen.playwright_collect | === Query 6/36: 'general contractor company Canada' ===
2026-04-17 07:54:36,279 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:55:26,316 | INFO | leadgen.playwright_collect | --- BING done: +29 domains (session total 267) ---
2026-04-17 07:55:28,383 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:55:34,717 | WARNING | leadgen.playwright_collect | DuckDuckGo JS SERP returned no links; trying HTML fallback.
2026-04-17 07:55:39,483 | WARNING | leadgen.playwright_collect | DuckDuckGo HTML: no harvestable links for query='general contractor company Canada'
2026-04-17 07:55:39,484 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +0 domains (session total 267) ---
2026-04-17 07:55:40,916 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:56:33,091 | INFO | leadgen.playwright_collect | --- YAHOO done: +4 domains (session total 271) ---
2026-04-17 07:56:34,248 | INFO | leadgen.playwright_collect | === Query 7/36: 'electrical contractor company USA' ===
2026-04-17 07:56:34,249 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:57:28,152 | INFO | leadgen.playwright_collect | --- BING done: +32 domains (session total 303) ---
2026-04-17 07:57:30,432 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:57:37,995 | WARNING | leadgen.playwright_collect | DuckDuckGo JS SERP returned no links; trying HTML fallback.
2026-04-17 07:57:42,059 | WARNING | leadgen.playwright_collect | DuckDuckGo HTML: no harvestable links for query='electrical contractor company USA'
2026-04-17 07:57:42,059 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +0 domains (session total 303) ---
2026-04-17 07:57:43,878 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:58:29,994 | INFO | leadgen.playwright_collect | --- YAHOO done: +19 domains (session total 322) ---
2026-04-17 07:58:31,408 | INFO | leadgen.playwright_collect | === Query 8/36: 'electrical contractor company Canada' ===
2026-04-17 07:58:31,408 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:59:24,269 | INFO | leadgen.playwright_collect | --- BING done: +48 domains (session total 370) ---
2026-04-17 07:59:25,783 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 07:59:33,501 | WARNING | leadgen.playwright_collect | DuckDuckGo JS SERP returned no links; trying HTML fallback.
2026-04-17 07:59:38,286 | WARNING | leadgen.playwright_collect | DuckDuckGo HTML: no harvestable links for query='electrical contractor company Canada'
2026-04-17 07:59:38,287 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +0 domains (session total 370) ---
2026-04-17 07:59:39,507 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:00:29,510 | INFO | leadgen.playwright_collect | --- YAHOO done: +4 domains (session total 374) ---
2026-04-17 08:00:31,812 | INFO | leadgen.playwright_collect | === Query 9/36: 'hvac service company USA' ===
2026-04-17 08:00:31,813 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:01:22,917 | INFO | leadgen.playwright_collect | --- BING done: +27 domains (session total 401) ---
2026-04-17 08:01:25,383 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:01:33,342 | WARNING | leadgen.playwright_collect | DuckDuckGo JS SERP returned no links; trying HTML fallback.
2026-04-17 08:01:37,416 | WARNING | leadgen.playwright_collect | DuckDuckGo HTML: no harvestable links for query='hvac service company USA'
2026-04-17 08:01:37,417 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +0 domains (session total 401) ---
2026-04-17 08:01:39,857 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:02:32,272 | INFO | leadgen.playwright_collect | --- YAHOO done: +21 domains (session total 422) ---
2026-04-17 08:02:34,435 | INFO | leadgen.playwright_collect | === Query 10/36: 'hvac service company Canada' ===
2026-04-17 08:02:34,436 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:03:27,154 | INFO | leadgen.playwright_collect | --- BING done: +32 domains (session total 454) ---
2026-04-17 08:03:29,542 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:03:37,763 | INFO | leadgen.playwright_collect | --- DUCKDUCKGO done: +2 domains (session total 456) ---
2026-04-17 08:03:40,057 | INFO | leadgen.playwright_collect | --- YAHOO (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:04:31,149 | INFO | leadgen.playwright_collect | --- YAHOO done: +13 domains (session total 469) ---
2026-04-17 08:04:32,212 | INFO | leadgen.playwright_collect | === Query 11/36: 'small manufacturing company USA' ===
2026-04-17 08:04:32,212 | INFO | leadgen.playwright_collect | --- BING (target +50 domains; max 6 SERP page(s); total cap 500) ---
2026-04-17 08:05:21,879 | INFO | leadgen.playwright_collect | --- BING done: +31 domains (session total 500) ---
2026-04-17 08:05:23,303 | INFO | leadgen.playwright_collect | Saved 500 new domains to D:\email_scraper\email_scraper_project\domains.txt (unique this run: 500; per-engine cap was 50)
2026-04-17 08:06:05,603 | INFO | leadgen.email_txt | Crawling 500 domains (workers=6)
2026-04-17 08:06:11,896 | INFO | leadgen.email_txt | 6wresearch.com: +1 raw hits (deduped globally)
2026-04-17 08:06:13,024 | INFO | leadgen.email_txt | acs.us: +12 raw hits (deduped globally)
2026-04-17 08:06:14,864 | INFO | leadgen.email_txt | actionelectrical.net: +2 raw hits (deduped globally)
2026-04-17 08:06:16,371 | INFO | leadgen.email_txt | acecwi.com: +1 raw hits (deduped globally)
2026-04-17 08:06:18,357 | INFO | leadgen.email_txt | acelectrical.ca: +1 raw hits (deduped globally)
2026-04-17 08:06:18,883 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: adams-electric.com
2026-04-17 08:06:24,184 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: agreatertown.com
2026-04-17 08:06:24,687 | INFO | leadgen.email_txt | advocacy.sba.gov: +2 raw hits (deduped globally)
2026-04-17 08:06:26,315 | INFO | leadgen.email_txt | agc.org: +4 raw hits (deduped globally)
2026-04-17 08:06:26,419 | INFO | leadgen.email_txt | agcmichigan.org: +1 raw hits (deduped globally)
2026-04-17 08:06:28,069 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: airbusus.com
2026-04-17 08:06:28,154 | INFO | leadgen.email_txt | advancedhvac.ca: +1 raw hits (deduped globally)
2026-04-17 08:06:29,134 | INFO | leadgen.email_txt | agc-ca.org: +1 raw hits (deduped globally)
2026-04-17 08:06:31,770 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: airtron.com
2026-04-17 08:06:32,450 | INFO | leadgen.email_txt | aireserv.com: +1 raw hits (deduped globally)
2026-04-17 08:06:32,667 | INFO | leadgen.email_txt | aireserv.ca: +1 raw hits (deduped globally)
2026-04-17 08:06:37,013 | INFO | leadgen.email_txt | airzonehvac.ca: +2 raw hits (deduped globally)
2026-04-17 08:06:37,388 | INFO | leadgen.email_txt | airtasker.com: +1 raw hits (deduped globally)
2026-04-17 08:06:39,009 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: allwestelectric.com
2026-04-17 08:06:41,074 | INFO | leadgen.email_txt | allamericanclothing.com: +2 raw hits (deduped globally)
2026-04-17 08:06:44,472 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: americanbuilders.ca
2026-04-17 08:06:45,494 | INFO | leadgen.email_txt | amenitypool.com: +1 raw hits (deduped globally)
2026-04-17 08:06:45,839 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: americanpool.com
2026-04-17 08:06:47,643 | INFO | leadgen.email_txt | americanmanufacturing.org: +2 raw hits (deduped globally)
2026-04-17 08:06:53,539 | INFO | leadgen.email_txt | amteck.com: +1 raw hits (deduped globally)
2026-04-17 08:06:59,415 | INFO | leadgen.email_txt | amrize.com: +3 raw hits (deduped globally)
2026-04-17 08:07:00,048 | INFO | leadgen.email_txt | aquacal.com: +2 raw hits (deduped globally)
2026-04-17 08:07:02,251 | INFO | leadgen.email_txt | aquaviewpools.ca: +2 raw hits (deduped globally)
2026-04-17 08:07:02,696 | INFO | leadgen.email_txt | aquaticms.com: +1 raw hits (deduped globally)
2026-04-17 08:07:06,752 | INFO | leadgen.email_txt | aristair.com: +6 raw hits (deduped globally)
2026-04-17 08:07:07,036 | INFO | leadgen.email_txt | arcoconstruction.com: +1 raw hits (deduped globally)
2026-04-17 08:07:07,046 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: arizton.com
2026-04-17 08:07:11,500 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: ars.com
2026-04-17 08:07:19,309 | INFO | leadgen.email_txt | aquaworx.ca: +2 raw hits (deduped globally)
2026-04-17 08:07:21,872 | INFO | leadgen.email_txt | armanch.ca: +1 raw hits (deduped globally)
2026-04-17 08:07:23,443 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: b.jobcase.com
2026-04-17 08:07:26,097 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: baker-electric.com
2026-04-17 08:07:26,408 | INFO | leadgen.email_txt | azadtechhub.com: +1 raw hits (deduped globally)
2026-04-17 08:07:31,375 | INFO | leadgen.email_txt | bcpools.ca: +1 raw hits (deduped globally)
2026-04-17 08:07:34,579 | INFO | leadgen.email_txt | bdcnetwork.com: +13 raw hits (deduped globally)
2026-04-17 08:07:36,916 | INFO | leadgen.email_txt | beemerpools.ca: +1 raw hits (deduped globally)
2026-04-17 08:07:40,323 | INFO | leadgen.email_txt | belvanconstruction.com: +1 raw hits (deduped globally)
2026-04-17 08:07:40,498 | INFO | leadgen.email_txt | autodesk.com: +2 raw hits (deduped globally)
2026-04-17 08:07:41,921 | INFO | leadgen.email_txt | bertselectric.net: +1 raw hits (deduped globally)
2026-04-17 08:07:45,130 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: bigrentz.com
2026-04-17 08:07:47,665 | INFO | leadgen.email_txt | betterbuyer.com: +1 raw hits (deduped globally)
2026-04-17 08:07:52,310 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: blog.prodatalabs.com
2026-04-17 08:07:52,782 | INFO | leadgen.email_txt | blackridgeresearch.com: +3 raw hits (deduped globally)
2026-04-17 08:07:56,451 | INFO | leadgen.email_txt | bluediamondpools.ca: +1 raw hits (deduped globally)
2026-04-17 08:08:03,674 | INFO | leadgen.email_txt | bobvila.com: +4 raw hits (deduped globally)
2026-04-17 08:08:05,437 | INFO | leadgen.email_txt | brookfieldresidential.com: +29 raw hits (deduped globally)
2026-04-17 08:08:06,483 | INFO | leadgen.email_txt | bomag.com: +1 raw hits (deduped globally)
2026-04-17 08:08:08,543 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: business-standard.com
2026-04-17 08:08:14,351 | INFO | leadgen.email_txt | buildworkscanada.com: +1 raw hits (deduped globally)
2026-04-17 08:08:17,803 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: canada-listing.com
2026-04-17 08:08:19,118 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: canadacompanyregistry.com
2026-04-17 08:08:19,762 | INFO | leadgen.email_txt | cadcr.com: +1 raw hits (deduped globally)
2026-04-17 08:08:21,302 | INFO | leadgen.email_txt | canadahvac.com: +1 raw hits (deduped globally)
2026-04-17 08:08:25,218 | INFO | leadgen.email_txt | canadianpoolservices.com: +1 raw hits (deduped globally)
2026-04-17 08:08:29,063 | INFO | leadgen.email_txt | canadawestpools.ca: +6 raw hits (deduped globally)
2026-04-17 08:08:30,928 | INFO | leadgen.email_txt | canadiangeneralcontractors.com: +1 raw hits (deduped globally)
2026-04-17 08:08:38,120 | INFO | leadgen.email_txt | casaboampools.ca: +1 raw hits (deduped globally)
2026-04-17 08:08:39,946 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: carrierenterprise.com
2026-04-17 08:08:42,467 | INFO | leadgen.email_txt | cantecelectrical.com: +1 raw hits (deduped globally)
2026-04-17 08:08:45,933 | INFO | leadgen.email_txt | canpools.com: +1 raw hits (deduped globally)
2026-04-17 08:08:46,211 | INFO | leadgen.email_txt | ceca.org: +2 raw hits (deduped globally)
2026-04-17 08:08:47,525 | INFO | leadgen.email_txt | canelectric.ca: +1 raw hits (deduped globally)
2026-04-17 08:08:51,267 | INFO | leadgen.email_txt | cemindia.co.in: +10 raw hits (deduped globally)
2026-04-17 08:08:55,661 | INFO | leadgen.email_txt | cience.com: +4 raw hits (deduped globally)
2026-04-17 08:08:56,224 | INFO | leadgen.email_txt | ceoreviewmagazine.com: +1 raw hits (deduped globally)
2026-04-17 08:08:59,862 | INFO | leadgen.email_txt | civilthings.com: +3 raw hits (deduped globally)
2026-04-17 08:09:02,365 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: citiservi.com
2026-04-17 08:09:02,948 | INFO | leadgen.email_txt | ciowomenmagazine.com: +1 raw hits (deduped globally)
2026-04-17 08:09:07,165 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: clockshark.com
2026-04-17 08:09:10,525 | INFO | leadgen.email_txt | cleanclearpoolservice.ca: +3 raw hits (deduped globally)
2026-04-17 08:09:13,826 | INFO | leadgen.email_txt | cncele.com: +1 raw hits (deduped globally)
2026-04-17 08:09:17,151 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: commerce.gov
2026-04-17 08:09:22,281 | INFO | leadgen.email_txt | constructiondigital.com: +1 raw hits (deduped globally)
2026-04-17 08:09:28,267 | INFO | leadgen.email_txt | constructionplacements.com: +1 raw hits (deduped globally)
2026-04-17 08:09:30,005 | INFO | leadgen.email_txt | constructionkenya.com: +1 raw hits (deduped globally)
2026-04-17 08:09:30,167 | INFO | leadgen.email_txt | constructiondive.com: +1 raw hits (deduped globally)
2026-04-17 08:09:37,520 | INFO | leadgen.email_txt | constructionupskills.com: +3 raw hits (deduped globally)
2026-04-17 08:09:42,602 | INFO | leadgen.email_txt | consumeraffairs.com: +3 raw hits (deduped globally)
2026-04-17 08:09:43,649 | INFO | leadgen.email_txt | conwize.io: +1 raw hits (deduped globally)
2026-04-17 08:09:46,076 | INFO | leadgen.email_txt | contractors.directory: +2 raw hits (deduped globally)
2026-04-17 08:09:46,843 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: crb.ri.gov
2026-04-17 08:09:49,985 | INFO | leadgen.email_txt | crunchbase.com: +1 raw hits (deduped globally)
2026-04-17 08:09:58,979 | INFO | leadgen.email_txt | completepoolservicing.com: +1 raw hits (deduped globally)
2026-04-17 08:10:00,665 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: constructionbriefing.com
2026-04-17 08:10:04,809 | INFO | leadgen.email_txt | digitalmarketingdeal.com: +1 raw hits (deduped globally)
2026-04-17 08:10:08,995 | INFO | leadgen.email_txt | dakotaelectric.com: +1 raw hits (deduped globally)
2026-04-17 08:10:09,685 | INFO | leadgen.email_txt | delair.com: +5 raw hits (deduped globally)
2026-04-17 08:10:13,075 | INFO | leadgen.email_txt | doctorpool.ca: +10 raw hits (deduped globally)
2026-04-17 08:10:18,907 | INFO | leadgen.email_txt | easyleadz.com: +1 raw hits (deduped globally)
2026-04-17 08:10:20,406 | INFO | leadgen.email_txt | dualtemp.com: +1 raw hits (deduped globally)
2026-04-17 08:10:22,709 | INFO | leadgen.email_txt | eca.bc.ca: +6 raw hits (deduped globally)
2026-04-17 08:10:24,081 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: eccosupply.ca
2026-04-17 08:10:24,745 | INFO | leadgen.email_txt | dutco.com: +21 raw hits (deduped globally)
2026-04-17 08:10:25,910 | INFO | leadgen.email_txt | ecaa.ab.ca: +1 raw hits (deduped globally)
2026-04-17 08:10:28,799 | INFO | leadgen.email_txt | ecoelectriccanada.com: +3 raw hits (deduped globally)
2026-04-17 08:10:28,854 | INFO | leadgen.email_txt | ecmweb.com: +14 raw hits (deduped globally)
2026-04-17 08:10:36,091 | INFO | leadgen.email_txt | electricalelite.ca: +2 raw hits (deduped globally)
2026-04-17 08:10:36,929 | INFO | leadgen.email_txt | electriccainc.com: +9 raw hits (deduped globally)
