domain,email,company_name,source,status,email_quality,notes
gmail.com,midoctoramedicalclinic@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,infinitemedicine@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,prestigemedicalclinic@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,medasst.vppc@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,mlloydmd@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,kansasrha1@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,rexahealth@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,nypcare@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,mitchellhuebnermd@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,adultmedical@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,midwestfax637@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,hmcdoctors.feedback@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,santaclarafamilyclinic@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,txavemedicalclinic@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
yahoo.com,txmedicalclinic19@yahoo.com,Yahoo,manual_serp,extracted,low,from_serp_paste
gmail.com,resolvefamilyclinic@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,receptionist.wfm@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
cencalpas.org,info@cencalpas.org,Cencalpas,manual_serp,extracted,high,from_serp_paste
gmail.com,mypatientbalance@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,villagephysicians@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,vistasolclinic@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,harborphysicians@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
yahoo.com,ace2md@yahoo.com,Yahoo,manual_serp,extracted,low,from_serp_paste
gmail.com,nmcsd.ombudsman@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,emelrosecontacts@gmail.com,Gmail,manual_serp,extracted,medium,from_serp_paste
gmail.com,greateratlantapediatrics@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,1901clinic@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
gmail.com,carterswalkinandurgentcare@gmail.com,Gmail,manual_serp,extracted,low,from_serp_paste
